date,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,Month,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
11/14/2017,978.5,978.5,978.5,978.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/15/2017,985,985,985,985,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/16/2017,991,991,991,991,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/17/2017,1004.5,1004.5,1004.5,1004.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/20/2017,1006.5,1006.5,1006.5,1006.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/21/2017,1006,1006,1006,1006,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/22/2017,1011,1011,1011,1011,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/24/2017,1008.5,1008.5,1008.5,1008.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/27/2017,1009.75,1009.75,1009.75,1009.75,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/28/2017,1009.75,1009.75,1009.75,1009.75,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/29/2017,1008.25,1008.25,1008.25,1008.25,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/30/2017,1005.75,1005.75,1005.75,1005.75,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
12/01/2017,1012.5,1012.5,1012.5,1012.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/04/2017,1012.75,1012.75,1012.75,1012.75,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/05/2017,1018,1018,1018,1018,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/06/2017,1014.25,1014.25,1014.25,1014.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/07/2017,1005.25,1005.25,1005.25,1005.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/08/2017,1004,1004,1004,1004,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/11/2017,1000,1000,1000,1000,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/12/2017,995.5,995.5,995.5,995.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/13/2017,998.5,998.5,998.5,998.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/14/2017,992,992,992,992,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/15/2017,992.25,992.25,992.25,992.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/18/2017,988.5,988.5,988.5,988.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/19/2017,984.25,984.25,984.25,984.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
