,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
openPrice,1.0,0.9932240334870548,0.9947441878089381,0.9893425220294215,0.26314682059389044,0.19413374964716013,-0.06409974147050551,-0.40620442148526426,-0.04425285712053299,0.7092448319267609,0.38040657744304857,-0.11246443573842836,0.7618778265438851,0.04467589030191571,0.4086042365306331,0.3379156161191463,-0.210302659115948,0.49226043882549747,0.4538682977958642,0.47323902144058644,0.7820300742556796,-0.25357809013305826
highPrice,0.9932240334870548,1.0,0.9913581961764178,0.9951200509414456,0.2555736936223317,0.190876074806302,-0.07967520311340096,-0.39744034470296524,-0.04759994266946904,0.6915708262085858,0.3646808308164874,-0.13301022574490362,0.7526077789666795,0.058041026773452416,0.38210674012954227,0.32208169279331356,-0.23157324563537346,0.4722757685648235,0.4354628945829275,0.46072961723907985,0.7738963186600984,-0.2786346674742666
lowPrice,0.9947441878089381,0.9913581961764178,1.0,0.9941668946292858,0.2763311893130008,0.20244990367427676,-0.05379267523484914,-0.4084583059197543,-0.054388205088392906,0.725646445577784,0.40208566383506184,-0.1045162861594071,0.7705606196565795,0.01696949384383681,0.42987803782081146,0.36003575276332717,-0.18384466596804172,0.5086129470236044,0.4744227002190696,0.4932608914823992,0.7854294113570435,-0.2451872127838632
closePrice,0.9893425220294215,0.9951200509414456,0.9941668946292858,1.0,0.2677443196014787,0.19755717649467397,-0.06656393686827106,-0.4003392988910689,-0.05596201104957739,0.7083111874592509,0.3891204832025194,-0.1185293102958708,0.7611567692971751,0.02876929176627456,0.40505222547000963,0.3479240486575866,-0.2037610176089538,0.48827525837180313,0.4575083824855358,0.4819680600959641,0.7780648457135185,-0.26427924070722086
totalSoybeanMealSupply,0.26314682059389044,0.2555736936223317,0.2763311893130008,0.2677443196014787,1.0,0.9262804442101022,0.2811122861003055,0.10918808684419301,-0.4508003912879734,0.33087694946593665,0.15317303278138972,0.3495867223359485,0.12211493028813221,-0.3951318661218552,0.4816964178926216,0.4650266791759675,0.032598283312251605,0.09149524662291046,0.1585998223971443,0.34627362680603596,0.3954637484388368,-0.13771662266808088
totalSoybeanMealDemand,0.19413374964716013,0.190876074806302,0.20244990367427676,0.19755717649467397,0.9262804442101022,1.0,0.2538761434945161,0.21130884688007098,-0.34020628055795343,0.24758527939967342,0.024308955182417196,0.35263426407687437,0.03986594494223711,-0.2826925699490899,0.38179697499417004,0.3801352517428248,-0.11543458692664774,-0.04376990642437556,0.03360589579277628,0.20324301862401328,0.36681825924075756,-0.18567068058673128
soybeanOilSupply,-0.06409974147050551,-0.07967520311340096,-0.05379267523484914,-0.06656393686827106,0.2811122861003055,0.2538761434945161,1.0,0.4238686802062046,0.2995184189566026,0.34237456713849057,0.17942067011435792,0.8184741907657542,-0.41413337819541424,-0.4748774058312077,-0.0015020733232456362,-0.014603786784929833,0.40332088218190515,-0.25198099812510094,0.6446970093173807,0.4600052977172225,0.22838888051288475,0.6946633291174661
soybeanOilDemand,-0.40620442148526426,-0.39744034470296524,-0.4084583059197543,-0.4003392988910689,0.10918808684419301,0.21130884688007098,0.4238686802062046,1.0,-0.1835514905785747,-0.2924963736515031,-0.33210214492329876,0.41784673399381794,-0.5935297801621184,-0.17787360058808435,-0.3580490794356454,-0.05425098489424281,-0.10570788068699992,-0.557082740520849,-0.12316993109980037,-0.10686321289566346,-0.12667868188840475,0.19842195191077547
sunflowerSeedPrice,-0.04425285712053299,-0.04759994266946904,-0.054388205088392906,-0.05596201104957739,-0.4508003912879734,-0.34020628055795343,0.2995184189566026,-0.1835514905785747,1.0,0.1798174038037511,0.15632456712222115,0.03209090744639778,-0.09644947385434198,0.39372044858074684,-0.2115178611738337,-0.5490579719287481,0.024676288363305595,0.01170988331739127,0.2282897604703324,-0.12994331842014312,0.047536668020643345,0.3289624511054551
canolaPrice,0.7092448319267609,0.6915708262085858,0.725646445577784,0.7083111874592509,0.33087694946593665,0.24758527939967342,0.34237456713849057,-0.2924963736515031,0.1798174038037511,1.0,0.5461333411729251,0.1636915504651382,0.5798741148881235,-0.25350764859859065,0.5416357631724805,0.38561460916156404,0.11636941001299358,0.5534555992841391,0.753710038038145,0.6843271157944182,0.7592264113768069,0.2060212626324611
