,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
openPrice,1,0.994595624,0.995218088,0.99117292,0.264326061,0.187297704,-0.01506449,-0.398798407,-0.027842175,0.730098352,0.406097048,-0.072968453,0.744694112,0.007839828,0.397329597,0.351149392,-0.18180928,0.47889535,0.504550941,0.501888684,0.796474233,-0.209287754
highPrice,0.994595624,1,0.991856614,0.995220127,0.246370728,0.175358037,-0.028581026,-0.392283142,-0.014789279,0.709586611,0.388256281,-0.092724615,0.733854382,0.036524952,0.366524955,0.321734346,-0.20758279,0.457853092,0.48397436,0.482045438,0.787295428,-0.228473923
lowPrice,0.995218088,0.991856614,1,0.995039305,0.272751218,0.191413045,-0.006330669,-0.405174013,-0.032215369,0.744734433,0.428634251,-0.06540939,0.75546243,-0.014372048,0.420709284,0.371279142,-0.153202361,0.50005025,0.5226873,0.517678863,0.796361636,-0.197877222
closePrice,0.99117292,0.995220127,0.995039305,1,0.259166519,0.182462013,-0.018942975,-0.396299149,-0.026765115,0.725573925,0.413686688,-0.080616378,0.743927651,0.004955515,0.390692581,0.350715474,-0.177917871,0.476774879,0.504472855,0.503059478,0.789612457,-0.215937075
totalSoybeanMealSupply,0.264326061,0.246370728,0.272751218,0.259166519,1,0.926280444,0.281112286,0.109188087,-0.450800391,0.330876949,0.153173033,0.349586722,0.12211493,-0.395131866,0.481696418,0.465026679,0.032598283,0.091495247,0.158599822,0.346273627,0.395463748,-0.137716623
totalSoybeanMealDemand,0.187297704,0.175358037,0.191413045,0.182462013,0.926280444,1,0.253876143,0.211308847,-0.340206281,0.247585279,0.024308955,0.352634264,0.039865945,-0.28269257,0.381796975,0.380135252,-0.115434587,-0.043769906,0.033605896,0.203243019,0.366818259,-0.185670681
soybeanOilSupply,-0.01506449,-0.028581026,-0.006330669,-0.018942975,0.281112286,0.253876143,1,0.42386868,0.299518419,0.342374567,0.17942067,0.818474191,-0.414133378,-0.474877406,-0.001502073,-0.014603787,0.403320882,-0.251980998,0.644697009,0.460005298,0.228388881,0.694663329
soybeanOilDemand,-0.398798407,-0.392283142,-0.405174013,-0.396299149,0.109188087,0.211308847,0.42386868,1,-0.183551491,-0.292496374,-0.332102145,0.417846734,-0.59352978,-0.177873601,-0.358049079,-0.054250985,-0.105707881,-0.557082741,-0.123169931,-0.106863213,-0.126678682,0.198421952
sunflowerSeedPrice,-0.027842175,-0.014789279,-0.032215369,-0.026765115,-0.450800391,-0.340206281,0.299518419,-0.183551491,1,0.179817404,0.156324567,0.032090907,-0.096449474,0.393720449,-0.211517861,-0.549057972,0.024676288,0.011709883,0.22828976,-0.129943318,0.047536668,0.328962451
canolaPrice,0.730098352,0.709586611,0.744734433,0.725573925,0.330876949,0.247585279,0.342374567,-0.292496374,0.179817404,1,0.546133341,0.16369155,0.579874115,-0.253507649,0.541635763,0.385614609,0.11636941,0.553455599,0.753710038,0.684327116,0.759226411,0.206021263
peanutsPrice,0.406097048,0.388256281,0.428634251,0.413686688,0.153173033,0.024308955,0.17942067,-0.332102145,0.156324567,0.546133341,1,0.010175969,0.505029312,-0.331266986,0.341720199,0.463400499,0.508631827,0.509953974,0.629951816,0.596809807,0.216540115,0.099219241
