,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
openPrice,1.0,0.9941299053081333,0.9952435047004597,0.9922217620873837,0.26739123490133715,0.1901357401544391,-0.04672018779109435,-0.4076671084808353,-0.046232533871427964,0.718703231247834,0.3988150534197907,-0.10052758576133186,0.7581645228859605,0.02329238294067053,0.40726411598094214,0.344565648028256,-0.19623259371588234,0.48232948305040224,0.4734376202181755,0.5031573166767805,0.7853957603778693,-0.24503091895451223
highPrice,0.9941299053081333,1.0,0.9917523968616281,0.9960837212793361,0.25149831687502733,0.17774716219327377,-0.058838100361166344,-0.40579143683318675,-0.03432849451963969,0.7045272452892517,0.3849487901848483,-0.1219741548776078,0.7495284584447757,0.0456335800249911,0.38212029456399466,0.3190001650189552,-0.21305116801656002,0.46969783271422455,0.4578797849006222,0.4876596741493638,0.7737637689602923,-0.2588111696780484
lowPrice,0.9952435047004597,0.9917523968616281,1.0,0.9945482233758511,0.27810864676200786,0.19678878835907374,-0.03724792385237512,-0.41037963667535166,-0.05615692396768991,0.7336299519477629,0.4183061030271195,-0.09134606601278816,0.7656873979316761,-0.004941944663997251,0.4284672500429201,0.36708594980589354,-0.17004421532447164,0.4995934379025194,0.4927735033271025,0.5212281050571027,0.7873101701446141,-0.23146156927782113
closePrice,0.9922217620873837,0.9960837212793361,0.9945482233758511,1.0,0.26566355064907793,0.18770355716693282,-0.04800788868176632,-0.4068473159325832,-0.048561925890612166,0.7186548791376994,0.40831651846076317,-0.10610893289274098,0.7575959141536147,0.012308601702383098,0.4041671460348998,0.35004625188813143,-0.18651489719959122,0.4839560747872355,0.47814404589377263,0.5087416169953425,0.7779405281249413,-0.2454096096104185
totalSoybeanMealSupply,0.26739123490133715,0.25149831687502733,0.27810864676200786,0.26566355064907793,1.0,0.9262804442101022,0.2811122861003055,0.10918808684419301,-0.4508003912879734,0.33087694946593665,0.15317303278138972,0.3495867223359485,0.12211493028813221,-0.3951318661218552,0.4816964178926216,0.4650266791759675,0.032598283312251605,0.09149524662291046,0.1585998223971443,0.34627362680603596,0.3954637484388368,-0.13771662266808088
totalSoybeanMealDemand,0.1901357401544391,0.17774716219327377,0.19678878835907374,0.18770355716693282,0.9262804442101022,1.0,0.2538761434945161,0.21130884688007098,-0.34020628055795343,0.24758527939967342,0.024308955182417196,0.35263426407687437,0.03986594494223711,-0.2826925699490899,0.38179697499417004,0.3801352517428248,-0.11543458692664774,-0.04376990642437556,0.03360589579277628,0.20324301862401328,0.36681825924075756,-0.18567068058673128
soybeanOilSupply,-0.04672018779109435,-0.058838100361166344,-0.03724792385237512,-0.04800788868176632,0.2811122861003055,0.2538761434945161,1.0,0.4238686802062046,0.2995184189566026,0.34237456713849057,0.17942067011435792,0.8184741907657542,-0.41413337819541424,-0.4748774058312077,-0.0015020733232456362,-0.014603786784929833,0.40332088218190515,-0.25198099812510094,0.6446970093173807,0.4600052977172225,0.22838888051288475,0.6946633291174661
soybeanOilDemand,-0.4076671084808353,-0.40579143683318675,-0.41037963667535166,-0.4068473159325832,0.10918808684419301,0.21130884688007098,0.4238686802062046,1.0,-0.1835514905785747,-0.2924963736515031,-0.33210214492329876,0.41784673399381794,-0.5935297801621184,-0.17787360058808435,-0.3580490794356454,-0.05425098489424281,-0.10570788068699992,-0.557082740520849,-0.12316993109980037,-0.10686321289566346,-0.12667868188840475,0.19842195191077547
sunflowerSeedPrice,-0.046232533871427964,-0.03432849451963969,-0.05615692396768991,-0.048561925890612166,-0.4508003912879734,-0.34020628055795343,0.2995184189566026,-0.1835514905785747,1.0,0.1798174038037511,0.15632456712222115,0.03209090744639778,-0.09644947385434198,0.39372044858074684,-0.2115178611738337,-0.5490579719287481,0.024676288363305595,0.01170988331739127,0.2282897604703324,-0.12994331842014312,0.047536668020643345,0.3289624511054551
canolaPrice,0.718703231247834,0.7045272452892517,0.7336299519477629,0.7186548791376994,0.33087694946593665,0.24758527939967342,0.34237456713849057,-0.2924963736515031,0.1798174038037511,1.0,0.5461333411729251,0.1636915504651382,0.5798741148881235,-0.25350764859859065,0.5416357631724805,0.38561460916156404,0.11636941001299358,0.5534555992841391,0.753710038038145,0.6843271157944182,0.7592264113768069,0.2060212626324611
peanutsPrice,0.3988150534197907,0.3849487901848483,0.4183061030271195,0.40831651846076317,0.15317303278138972,0.024308955182417196,0.17942067011435792,-0.33210214492329876,0.15632456712222115,0.5461333411729251,1.0,0.010175968786232413,0.5050293123717895,-0.3312669859952503,0.34172019907543383,0.46340049854975834,0.5086318274779298,0.5099539742186915,0.6299518160841293,0.5968098069087431,0.21654011476485244,0.09921924111634646
flaxseedPrice,-0.10052758576133186,-0.1219741548776078,-0.09134606601278816,-0.10610893289274098,0.3495867223359485,0.35263426407687437,0.8184741907657542,0.41784673399381794,0.03209090744639778,0.1636915504651382,0.010175968786232413,1.0,-0.44062537742800384,-0.5156769712089464,0.15997247553083455,0.2278791760744,0.2524871869717862,-0.34406563899537784,0.3690437873856197,0.31513887132479373,0.21519942742541925,0.6320370294831212
soybeanOilPrice,0.7581645228859605,0.7495284584447757,0.7656873979316761,0.7575959141536147,0.12211493028813221,0.03986594494223711,-0.41413337819541424,-0.5935297801621184,-0.09644947385434198,0.5798741148881235,0.5050293123717895,-0.44062537742800384,1.0,0.16586818009724,0.5853416824247266,0.45513020628564677,-0.08583215106140737,0.7923206968606638,0.2536245636863826,0.29928238043612004,0.5009046903932403,-0.416140918130512
cottonseedOilPrice,0.02329238294067053,0.0456335800249911,-0.004941944663997251,0.012308601702383098,-0.3951318661218552,-0.2826925699490899,-0.4748774058312077,-0.17787360058808435,0.39372044858074684,-0.25350764859859065,-0.3312669859952503,-0.5156769712089464,0.16586818009724,1.0,-0.22931380244197305,-0.6062127013882502,-0.5744859317282381,0.08420184554668417,-0.5075422173352939,-0.6341849871524756,-0.06214740256344292,-0.3810410582648219
sunflowerseedOilPrice,0.40726411598094214,0.38212029456399466,0.4284672500429201,0.4041671460348998,0.4816964178926216,0.38179697499417004,-0.0015020733232456362,-0.3580490794356454,-0.2115178611738337,0.5416357631724805,0.34172019907543383,0.15997247553083455,0.5853416824247266,-0.22931380244197305,1.0,0.5560590179594591,0.24648237198137798,0.6293940507416758,0.18851289113338687,0.3718516980228138,0.3173329147391736,-0.016980234365277964
canolaOilPrice,0.344565648028256,0.3190001650189552,0.36708594980589354,0.35004625188813143,0.4650266791759675,0.3801352517428248,-0.014603786784929833,-0.05425098489424281,-0.5490579719287481,0.38561460916156404,0.46340049854975834,0.2278791760744,0.45513020628564677,-0.6062127013882502,0.5560590179594591,1.0,0.205842353271101,0.33004082524532613,0.28990349266194204,0.420632008967612,0.31034695221901965,-0.017122863657686966
peanutOilPrice,-0.19623259371588234,-0.21305116801656002,-0.17004421532447164,-0.18651489719959122,0.032598283312251605,-0.11543458692664774,0.40332088218190515,-0.10570788068699992,0.024676288363305595,0.11636941001299358,0.5086318274779298,0.2524871869717862,-0.08583215106140737,-0.5744859317282381,0.24648237198137798,0.205842353271101,1.0,0.29038618869720456,0.48325784945726324,0.361354004439481,-0.3844048401206015,0.48666750714196705
cornOilPrice,0.48232948305040224,0.46969783271422455,0.4995934379025194,0.4839560747872355,0.09149524662291046,-0.04376990642437556,-0.25198099812510094,-0.557082740520849,0.01170988331739127,0.5534555992841391,0.5099539742186915,-0.34406563899537784,0.7923206968606638,0.08420184554668417,0.6293940507416758,0.33004082524532613,0.29038618869720456,1.0,0.3240132656557386,0.16080692614292866,0.24677361011066906,-0.056582129099288635
soybeanMealPrice,0.4734376202181755,0.4578797849006222,0.4927735033271025,0.47814404589377263,0.1585998223971443,0.03360589579277628,0.6446970093173807,-0.12316993109980037,0.2282897604703324,0.753710038038145,0.6299518160841293,0.3690437873856197,0.2536245636863826,-0.5075422173352939,0.18851289113338687,0.28990349266194204,0.48325784945726324,0.3240132656557386,1.0,0.734607819131664,0.510879034513897,0.4754139515754407
cottonseedmealPrice,0.5031573166767805,0.4876596741493638,0.5212281050571027,0.5087416169953425,0.34627362680603596,0.20324301862401328,0.4600052977172225,-0.10686321289566346,-0.12994331842014312,0.6843271157944182,0.5968098069087431,0.31513887132479373,0.29928238043612004,-0.6341849871524756,0.3718516980228138,0.420632008967612,0.361354004439481,0.16080692614292866,0.734607819131664,1.0,0.44964756073470075,0.1941788557294712
sunflowerseedMealPrice,0.7853957603778693,0.7737637689602923,0.7873101701446141,0.7779405281249413,0.3954637484388368,0.36681825924075756,0.22838888051288475,-0.12667868188840475,0.047536668020643345,0.7592264113768069,0.21654011476485244,0.21519942742541925,0.5009046903932403,-0.06214740256344292,0.3173329147391736,0.31034695221901965,-0.3844048401206015,0.24677361011066906,0.510879034513897,0.44964756073470075,1.0,-0.06957755872903891
linseedMealPrice,-0.24503091895451223,-0.2588111696780484,-0.23146156927782113,-0.2454096096104185,-0.13771662266808088,-0.18567068058673128,0.6946633291174661,0.19842195191077547,0.3289624511054551,0.2060212626324611,0.09921924111634646,0.6320370294831212,-0.416140918130512,-0.3810410582648219,-0.016980234365277964,-0.017122863657686966,0.48666750714196705,-0.056582129099288635,0.4754139515754407,0.1941788557294712,-0.06957755872903891,1.0
