,Date,sellHold
0,11/14/17,
1,11/15/17,
2,11/16/17,
3,11/17/17,
4,11/20/17,
5,11/21/17,
6,11/22/17,
7,11/24/17,
8,11/27/17,
9,11/28/17,
10,11/29/17,
11,11/30/17,
12,12/1/17,
13,12/4/17,
14,12/5/17,
15,12/6/17,
16,12/7/17,
17,12/8/17,
18,12/11/17,
19,12/12/17,
20,12/13/17,
21,12/14/17,
22,12/15/17,
23,12/18/17,
24,12/19/17,
25,12/20/17,
26,12/21/17,
27,12/22/17,
28,12/26/17,
29,12/27/17,
30,12/28/17,
31,12/29/17,
32,1/2/18,
33,1/3/18,
34,1/4/18,
35,1/5/18,
36,1/8/18,
37,1/9/18,
38,1/10/18,
39,1/11/18,
40,1/12/18,
41,1/16/18,
42,1/17/18,
43,1/18/18,
44,1/19/18,
45,1/22/18,
46,1/23/18,
47,1/24/18,
48,1/25/18,
49,1/26/18,
50,1/29/18,
51,1/30/18,
52,1/31/18,
53,2/1/18,
54,2/2/18,
55,2/5/18,
56,2/6/18,
57,2/7/18,
58,2/8/18,
59,2/9/18,
60,2/12/18,
61,2/13/18,
62,2/14/18,
63,2/15/18,
64,2/16/18,
65,2/20/18,
66,2/21/18,
67,2/22/18,
68,2/23/18,
69,2/26/18,
70,2/27/18,
71,2/28/18,
72,3/1/18,
73,3/2/18,
74,3/5/18,
75,3/6/18,
76,3/7/18,
77,3/8/18,
78,3/9/18,
79,3/12/18,
80,3/13/18,
81,3/14/18,
82,3/15/18,
83,3/16/18,
84,3/19/18,
85,3/20/18,
86,3/21/18,
87,3/22/18,
88,3/23/18,
89,3/26/18,
90,3/27/18,
91,3/28/18,
92,3/29/18,
93,4/2/18,
94,4/3/18,
95,4/4/18,
96,4/5/18,
97,4/6/18,
98,4/9/18,
99,4/10/18,
100,4/11/18,
101,4/12/18,
102,4/13/18,
103,4/16/18,
104,4/17/18,
105,4/18/18,
106,4/19/18,
107,4/20/18,
108,4/23/18,
109,4/24/18,
110,4/25/18,
111,4/26/18,
112,4/27/18,
113,4/30/18,
114,5/1/18,
115,5/2/18,
116,5/3/18,
117,5/4/18,
118,5/7/18,
119,5/8/18,
120,5/9/18,
121,5/10/18,
122,5/11/18,
123,5/14/18,
124,5/15/18,
125,5/16/18,
126,5/17/18,
127,5/18/18,
128,5/21/18,
129,5/22/18,
130,5/23/18,
131,5/24/18,
132,5/25/18,
133,5/29/18,
134,5/30/18,
135,5/31/18,
136,6/1/18,
137,6/4/18,
138,6/5/18,
139,6/6/18,
140,6/7/18,
141,6/8/18,
142,6/11/18,
143,6/12/18,
144,6/13/18,
145,6/14/18,
146,6/15/18,
147,6/18/18,
148,6/19/18,
149,6/20/18,
150,6/21/18,
151,6/22/18,
152,6/25/18,
153,6/26/18,
154,6/27/18,
155,6/28/18,
156,6/29/18,
157,7/2/18,
158,7/3/18,
159,7/5/18,
160,7/6/18,
161,7/9/18,
162,7/10/18,
163,7/11/18,
164,7/12/18,
165,7/13/18,
166,7/16/18,
167,7/17/18,
168,7/18/18,
169,7/19/18,
170,7/20/18,
171,7/23/18,
172,7/24/18,
173,7/25/18,
174,7/26/18,
175,7/27/18,
176,7/30/18,
177,7/31/18,
178,8/1/18,
179,8/2/18,
180,8/3/18,
181,8/6/18,
182,8/7/18,
183,8/8/18,
184,8/9/18,
185,8/10/18,
186,8/13/18,
187,8/14/18,
188,8/15/18,
189,8/16/18,
190,8/17/18,
191,8/20/18,
192,8/21/18,
193,8/22/18,
194,8/23/18,
195,8/24/18,
196,8/27/18,
197,8/28/18,
198,8/29/18,
199,8/30/18,
200,8/31/18,
201,9/4/18,
202,9/5/18,
203,9/6/18,
204,9/7/18,
205,9/10/18,
206,9/11/18,
207,9/12/18,
208,9/13/18,
209,9/14/18,
210,9/17/18,
211,9/18/18,
212,9/19/18,
213,9/20/18,
214,9/21/18,
215,9/24/18,
216,9/25/18,
217,9/26/18,
218,9/27/18,
219,9/28/18,
220,10/1/18,
