date,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,Month,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
11/14/2017,978.5,978.5,978.5,978.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/15/2017,985,985,985,985,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/16/2017,983,983,983,983,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/17/2017,996.5,996.5,996.5,996.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/20/2017,998.5,998.5,998.5,998.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/21/2017,998,998,998,998,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/22/2017,1003,1003,1003,1003,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/24/2017,1000.5,1000.5,1000.5,1000.5,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/27/2017,1001.75,1001.75,1001.75,1001.75,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/28/2017,1001.75,1001.75,1001.75,1001.75,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/29/2017,1000.25,1000.25,1000.25,1000.25,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
11/30/2017,997.75,997.75,997.75,997.75,"4,526.60","4,137.50","3,625.30","1,934.70",16.60,November,17.2,22.7,9.21,33.43,37,55.5,39.69,65,34.46,313.52,228.75,165,205
12/01/2017,1004.5,1004.5,1004.5,1004.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/04/2017,1004.75,1004.75,1004.75,1004.75,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/05/2017,1010,1010,1010,1010,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/06/2017,1006.25,1006.25,1006.25,1006.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/07/2017,997.25,997.25,997.25,997.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/08/2017,996,996,996,996,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/11/2017,992,992,992,992,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/12/2017,987.5,987.5,987.5,987.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/13/2017,990.5,990.5,990.5,990.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/14/2017,984,984,984,984,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/15/2017,984.25,984.25,984.25,984.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/18/2017,980.25,980.25,980.25,980.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/19/2017,976.5,976.5,976.5,976.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
