,Month,canolaPrice,soybeanOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
0,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
1,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
2,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
3,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
4,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
5,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
6,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
7,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
8,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
9,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
10,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
11,11,17.2,33.43,34.46,313.52,228.75,165.0,205.0
12,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
13,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
14,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
15,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
16,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
17,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
18,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
19,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
20,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
21,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
22,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
23,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
24,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
25,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
26,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
27,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
28,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
29,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
30,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
31,12,16.7,32.27,33.96,319.22,232.5,185.0,209.17
32,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
33,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
34,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
35,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
36,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
37,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
38,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
39,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
40,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
41,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
42,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
43,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
44,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
45,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
46,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
47,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
48,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
49,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
50,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
51,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
52,1,17.7,31.61,30.68,322.6,259.0,178.0,215.5
53,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
54,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
55,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
56,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
57,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
58,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
59,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
60,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
61,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
62,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
63,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
64,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
65,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
66,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
67,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
68,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
69,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
70,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
71,2,18.3,30.63,29.72,362.85,303.13,185.63,233.13
72,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
73,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
74,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
75,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
76,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
77,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
78,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
79,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
80,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
81,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
82,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
83,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
84,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
85,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
86,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
87,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
88,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
89,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
90,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
91,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
92,3,18.2,30.28,29.66,379.85,323.13,187.5,237.5
93,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
94,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
95,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
96,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
97,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
98,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
99,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
100,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
101,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
102,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
103,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
104,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
105,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
106,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
107,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
108,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
109,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
110,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
111,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
112,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
113,4,17.5,29.7,29.5,385.84,263.13,191.88,238.13
114,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
115,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
116,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
117,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
118,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
119,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
120,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
121,5,18.5,29.4,29.65,393.55,262.5,201.5,267.5
